,year,region_code,regions,age_group_code,average_weekly_income,expenditure_per_person,average_sale_price,hpi,cpi,annual_savings,downpayment_capacity,loan_to_value_ratio,affordability
0,2019,r003,Wellington,2,904.0,491.566650390625,649378.9025686448,2560.3251953125,1035.25,21446.5341796875,64339.6025390625,64937.890256864484,5
1,2010,r001,Auckland,2,638.0,380.8666585286458,666113.0689507495,1453.3250732421875,906.0,13370.933756510418,40112.80126953125,66611.30689507494,4
2,2010,r002,Rest of North Island,2,635.3333333333334,291.5333251953125,295959.3880159229,1453.3250732421875,906.0,17877.600423177086,53632.80126953126,29595.938801592292,6
3,2016,r005,Rest of South Island,3,803.3333333333334,365.6999918619792,422430.6541262136,2268.175048828125,984.5,22756.933756510418,68270.80126953125,42243.065412621356,6
4,2007,r004,Canterbury,2,639.0,310.26666259765625,331251.7724867725,1514.0,834.5,17094.133544921875,51282.400634765625,33125.17724867725,6
5,2007,r001,Auckland,2,644.0,354.566650390625,616027.9911622924,1514.0,834.5,15050.5341796875,45151.6025390625,61602.799116229246,4
6,2019,r002,Rest of North Island,2,841.5,396.6999918619792,501821.60296517954,2560.3251953125,1035.25,23129.600423177082,69388.80126953125,50182.160296517955,6
7,2019,r004,Canterbury,3,936.0,441.2333170572917,431969.92042440316,2560.3251953125,1035.25,25727.867513020832,77183.6025390625,43196.99204244032,6
8,2019,r005,Rest of South Island,1,690.3333333333334,382.7666829427083,509277.888101983,2560.3251953125,1035.25,15993.465820312504,47980.397460937515,50927.7888101983,5
9,2016,r004,Canterbury,3,997.0,395.0,452376.05722070846,2268.175048828125,984.5,31304.0,93912.0,45237.605722070846,6
10,2013,r003,Wellington,3,986.0,413.8333333333333,415221.7681528662,1666.4249267578125,963.5,29752.666666666668,89258.0,41522.17681528662,6
11,2010,r005,Rest of South Island,1,481.3333333333333,312.40000406901044,345598.64387917327,1453.3250732421875,906.0,8784.53312174479,26353.599365234368,34559.864387917325,4
12,2013,r002,Rest of North Island,3,796.0,326.0333251953125,300528.13243791973,1666.4249267578125,963.5,24438.26708984375,73314.80126953125,30052.813243791974,6
13,2016,r003,Wellington,2,851.0,418.3333333333333,484828.82789530297,2268.175048828125,984.5,22498.666666666668,67496.0,48482.8827895303,6
14,2016,r001,Auckland,3,979.0,511.1000162760417,1214354.3267876992,2268.175048828125,984.5,24330.799153645832,72992.3974609375,121435.43267876992,4
15,2013,r004,Canterbury,2,740.0,360.2666829427083,393514.7318295739,1666.4249267578125,963.5,19746.132486979168,59238.3974609375,39351.473182957394,6
16,2016,r005,Rest of South Island,1,555.6666666666666,365.6999918619792,422430.6541262136,2268.175048828125,984.5,9878.267089843746,29634.80126953124,42243.065412621356,4
17,2007,r005,Rest of South Island,2,619.6666666666666,312.5333251953125,324322.6469387755,1514.0,834.5,15970.933756510414,47912.80126953124,32432.26469387755,6
18,2013,r001,Auckland,2,653.0,421.933349609375,777127.68512,1666.4249267578125,963.5,12015.4658203125,36046.3974609375,77712.76851200001,3
19,2007,r003,Wellington,3,1032.0,368.8333333333333,388501.53711646324,1514.0,834.5,34484.66666666667,103454.00000000001,38850.15371164632,6
20,2010,r004,Canterbury,3,819.0,334.73333740234375,329218.27931034483,1453.3250732421875,906.0,25181.866455078125,75545.59936523438,32921.82793103448,6
21,2019,r004,Canterbury,2,851.0,441.2333170572917,431969.92042440316,2560.3251953125,1035.25,21307.867513020832,63923.6025390625,43196.99204244032,6
22,2010,r001,Auckland,1,392.0,380.8666585286458,666113.0689507495,1453.3250732421875,906.0,578.9337565104179,1736.8012695312536,66611.30689507494,1
23,2016,r001,Auckland,2,771.0,511.1000162760417,1214354.3267876992,2268.175048828125,984.5,13514.799153645832,40544.3974609375,121435.43267876992,2
24,2013,r005,Rest of South Island,2,652.0,329.3666585286458,354149.2808564232,1666.4249267578125,963.5,16776.933756510418,50330.80126953125,35414.92808564232,6
25,2010,r001,Auckland,3,767.0,380.8666585286458,666113.0689507495,1453.3250732421875,906.0,20078.933756510418,60236.80126953125,66611.30689507494,5
26,2016,r002,Rest of North Island,3,847.3333333333334,363.7666829427083,364626.93061757897,2268.175048828125,984.5,25145.465820312504,75436.39746093751,36462.6930617579,6
27,2016,r003,Wellington,3,1183.0,418.3333333333333,484828.82789530297,2268.175048828125,984.5,39762.66666666667,119288.00000000001,48482.8827895303,6
28,2013,r003,Wellington,2,895.0,413.8333333333333,415221.7681528662,1666.4249267578125,963.5,25020.666666666668,75062.0,41522.17681528662,6
29,2016,r005,Rest of South Island,2,746.3333333333334,365.6999918619792,422430.6541262136,2268.175048828125,984.5,19792.933756510418,59378.80126953125,42243.065412621356,6
30,2013,r005,Rest of South Island,3,762.6666666666666,329.3666585286458,354149.2808564232,1666.4249267578125,963.5,22531.600423177082,67594.80126953125,35414.92808564232,6
31,2016,r001,Auckland,1,489.0,511.1000162760417,1214354.3267876992,2268.175048828125,984.5,-1149.2008463541679,-3447.6025390625036,121435.43267876992,1
32,2007,r002,Rest of North Island,3,679.8333333333334,284.06667073567706,298311.20831825613,1514.0,834.5,20579.86645507813,61739.59936523439,29831.120831825614,6
33,2010,r005,Rest of South Island,2,704.6666666666666,312.40000406901044,345598.64387917327,1453.3250732421875,906.0,20397.86645507812,61193.59936523436,34559.864387917325,6
34,2013,r003,Wellington,1,440.0,413.8333333333333,415221.7681528662,1666.4249267578125,963.5,1360.6666666666679,4082.0000000000036,41522.17681528662,1
35,2010,r002,Rest of North Island,3,701.0,291.5333251953125,295959.3880159229,1453.3250732421875,906.0,21292.26708984375,63876.80126953125,29595.938801592292,6
36,2010,r004,Canterbury,1,457.0,334.73333740234375,329218.27931034483,1453.3250732421875,906.0,6357.866455078125,19073.599365234375,32921.82793103448,3
37,2019,r002,Rest of North Island,1,661.6666666666666,396.6999918619792,501821.60296517954,2560.3251953125,1035.25,13778.267089843746,41334.801269531235,50182.160296517955,5
38,2007,r003,Wellington,1,411.0,368.8333333333333,388501.53711646324,1514.0,834.5,2192.666666666668,6578.000000000004,38850.15371164632,1
39,2007,r002,Rest of North Island,1,490.6666666666667,284.06667073567706,298311.20831825613,1514.0,834.5,10743.19978841146,32229.599365234382,29831.120831825614,6
40,2016,r002,Rest of North Island,1,530.0,363.7666829427083,364626.93061757897,2268.175048828125,984.5,8644.132486979168,25932.397460937504,36462.6930617579,4
41,2010,r004,Canterbury,2,579.0,334.73333740234375,329218.27931034483,1453.3250732421875,906.0,12701.866455078125,38105.599365234375,32921.82793103448,6
42,2007,r001,Auckland,3,852.0,354.566650390625,616027.9911622924,1514.0,834.5,25866.5341796875,77599.6025390625,61602.799116229246,6
43,2013,r001,Auckland,1,395.0,421.933349609375,777127.68512,1666.4249267578125,963.5,-1400.5341796875,-4201.6025390625,77712.76851200001,1
44,2007,r002,Rest of North Island,2,620.8333333333334,284.06667073567706,298311.20831825613,1514.0,834.5,17511.86645507813,52535.59936523439,29831.120831825614,6
45,2019,r001,Auckland,3,1063.0,516.3000081380209,1237085.7462323771,2560.3251953125,1035.25,28428.399576822914,85285.19873046875,123708.57462323771,4
46,2007,r005,Rest of South Island,3,704.0,312.5333251953125,324322.6469387755,1514.0,834.5,20356.26708984375,61068.80126953125,32432.26469387755,6
47,2019,r002,Rest of North Island,3,947.5,396.6999918619792,501821.60296517954,2560.3251953125,1035.25,28641.600423177082,85924.80126953125,50182.160296517955,6
48,2007,r005,Rest of South Island,1,476.6666666666667,312.5333251953125,324322.6469387755,1514.0,834.5,8534.933756510418,25604.801269531254,32432.26469387755,4
49,2019,r001,Auckland,1,600.0,516.3000081380209,1237085.7462323771,2560.3251953125,1035.25,4352.399576822914,13057.198730468743,123708.57462323771,1
50,2013,r002,Rest of North Island,1,493.6666666666667,326.0333251953125,300528.13243791973,1666.4249267578125,963.5,8716.933756510418,26150.801269531254,30052.813243791974,5
51,2019,r005,Rest of South Island,2,897.0,382.7666829427083,509277.888101983,2560.3251953125,1035.25,26740.132486979168,80220.3974609375,50927.7888101983,6
52,2007,r001,Auckland,1,388.0,354.566650390625,616027.9911622924,1514.0,834.5,1738.5341796875,5215.6025390625,61602.799116229246,1
53,2013,r004,Canterbury,1,539.0,360.2666829427083,393514.7318295739,1666.4249267578125,963.5,9294.132486979168,27882.397460937504,39351.473182957394,4
54,2010,r005,Rest of South Island,3,766.6666666666666,312.40000406901044,345598.64387917327,1453.3250732421875,906.0,23621.86645507812,70865.59936523436,34559.864387917325,6
55,2019,r004,Canterbury,1,578.0,441.2333170572917,431969.92042440316,2560.3251953125,1035.25,7111.867513020832,21335.602539062496,43196.99204244032,3
56,2010,r003,Wellington,3,891.0,411.3000081380208,415594.58303886926,1453.3250732421875,906.0,24944.399576822918,74833.19873046875,41559.458303886924,6
57,2019,r003,Wellington,1,581.0,491.566650390625,649378.9025686448,2560.3251953125,1035.25,4650.5341796875,13951.6025390625,64937.890256864484,2
58,2016,r004,Canterbury,2,830.0,395.0,452376.05722070846,2268.175048828125,984.5,22620.0,67860.0,45237.605722070846,6
59,2019,r003,Wellington,3,1198.0,491.566650390625,649378.9025686448,2560.3251953125,1035.25,36734.5341796875,110203.6025390625,64937.890256864484,6
60,2013,r005,Rest of South Island,1,462.0,329.3666585286458,354149.2808564232,1666.4249267578125,963.5,6896.933756510418,20690.801269531254,35414.92808564232,3
61,2010,r003,Wellington,1,407.0,411.3000081380208,415594.58303886926,1453.3250732421875,906.0,-223.60042317708212,-670.8012695312464,41559.458303886924,1
62,2016,r004,Canterbury,1,537.0,395.0,452376.05722070846,2268.175048828125,984.5,7384.0,22152.0,45237.605722070846,3
63,2016,r003,Wellington,1,506.0,418.3333333333333,484828.82789530297,2268.175048828125,984.5,4558.666666666668,13676.000000000004,48482.8827895303,2
64,2016,r002,Rest of North Island,2,764.8333333333334,363.7666829427083,364626.93061757897,2268.175048828125,984.5,20855.465820312504,62566.397460937515,36462.6930617579,6
65,2007,r004,Canterbury,3,840.0,310.26666259765625,331251.7724867725,1514.0,834.5,27546.133544921875,82638.40063476562,33125.17724867725,6
66,2007,r004,Canterbury,1,435.0,310.26666259765625,331251.7724867725,1514.0,834.5,6486.133544921875,19458.400634765625,33125.17724867725,3
67,2013,r001,Auckland,3,831.0,421.933349609375,777127.68512,1666.4249267578125,963.5,21271.4658203125,63814.3974609375,77712.76851200001,5
68,2013,r004,Canterbury,3,877.0,360.2666829427083,393514.7318295739,1666.4249267578125,963.5,26870.132486979168,80610.3974609375,39351.473182957394,6
69,2007,r003,Wellington,2,656.0,368.8333333333333,388501.53711646324,1514.0,834.5,14932.666666666668,44798.0,38850.15371164632,6
70,2010,r003,Wellington,2,782.0,411.3000081380208,415594.58303886926,1453.3250732421875,906.0,19276.399576822918,57829.19873046875,41559.458303886924,6
71,2013,r002,Rest of North Island,2,639.1666666666666,326.0333251953125,300528.13243791973,1666.4249267578125,963.5,16282.933756510414,48848.80126953124,30052.813243791974,6
72,2010,r002,Rest of North Island,1,459.0,291.5333251953125,295959.3880159229,1453.3250732421875,906.0,8708.26708984375,26124.80126953125,29595.938801592292,5
73,2019,r005,Rest of South Island,3,908.6666666666666,382.7666829427083,509277.888101983,2560.3251953125,1035.25,27346.799153645832,82040.3974609375,50927.7888101983,6
74,2019,r001,Auckland,2,920.0,516.3000081380209,1237085.7462323771,2560.3251953125,1035.25,20992.399576822914,62977.19873046874,123708.57462323771,3
