hpi_series_id,hpi_year,hpi_quarter_01,hpi_quarter_02,hpi_quarter_03,hpi_quarter_04
1/03/00,2000,704.7,697.7,697.1,696.6
1/03/01,2001,701.1,699.5,705.9,717.9
1/03/02,2002,736.8,751.9,773.5,800.6
1/03/03,2003,842.4,871.1,937.6,1000.0
1/03/04,2004,1041.1,1066.1,1090.9,1124.9
1/03/05,2005,1180.0,1214.4,1250.7,1299.9
1/03/06,2006,1324.0,1336.8,1369.9,1418.3
1/03/07,2007,1479.2,1520.0,1525.7,1531.1
1/03/08,2008,1521.3,1452.9,1422.7,1394.8
1/03/09,2009,1382.9,1406.6,1437.7,1467.8
1/03/10,2010,1469.4,1454.7,1445.1,1444.1
1/03/11,2011,1447.1,1452.4,1473.6,1477.5
1/03/12,2012,1493.4,1510.4,1540.6,1572.4
1/03/13,2013,1608.8,1645.0,1697.0,1714.9
1/03/14,2014,1734.1,1749.1,1778.5,1834.8
1/03/15,2015,1891.5,1956.1,2045.2,2059.6
1/03/16,2016,2135.6,2248.8,2333.3,2355.0
1/03/17,2017,2391.1,2394.8,2421.9,2448.9
1/03/18,2018,2480.9,2480.9,2494.8,2517.2
1/03/19,2019,2525.7,2517.8,2565.2,2632.6
1/03/20,2020,2722.1,2688.8,2740.3,